hhid,hhea,c,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,close,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmt,getbenefit,logc,unob_c,distt_q,pmt_q,c_q,unob_c_q,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
428037,428,625344.1,3070.746,3747.166,4190.25,4335.464,16666.67,1,0.0,0,1.0,175.9551,5,3065.412,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,452.7346,771.3986,994.6763,12.7272,0.0,13.346057337215987,0.2864499943064498,3,2,4,3,0.1776692882531268,0.07850378091071668,0.02616263468512231,0.1751123330157972,0.3417969266046921,0.17345675237209018,0.1729174718332952,0.16448107625174993,0.1464917099091983,0.2408790291417508,0.11568643478915824
346055,346,625812.5,3428.51,4243.3,4393.06,5092.625,20833.33,0,0.0,1,2.0,175.3095,4,3792.803,8.711562,-0.7913247,0.4344385,40.21196,-3.331221,0.9527218,8.021887,-0.7278951,500.0,991.0108,1214.86,1773.415,13.41399,0.0,13.346806084450158,-0.2252934558279236,4,3,4,1,0.19409273908703673,0.10583921804436407,0.05233214405072204,0.19086676264777053,0.4497227271716833,0.19027916553635485,0.1875562141292555,0.17310769038473545,0.1456026440463852,0.30318641283080233,0.08711654999902274
164059,164,625988.1,3647.725,3505.296,5124.848,5474.148,27777.78,1,1.0,1,1.0,125.7222,3,3682.283,8.711562,-0.7913247,0.1845431,40.21196,-3.331221,0.6020159,8.021887,-0.7278951,666.6667,504.7659,1900.143,2244.505,13.18827,0.0,13.347086640316887,-0.0565775139042799,3,3,4,2,0.2649609502969607,0.20258016977784993,0.15735636877972686,0.26559158887919265,0.6379615081074936,0.2649609502969607,0.2649609502969607,0.2649609502969607,0.2649609502969607,0.4163942291663604,0.1164669586783434
313015,313,626468.3,3145.88,3145.88,4500.56,4817.232,16666.67,1,1.0,0,0.0,171.7391,3,3297.201,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,889.7471,1214.223,12.76436,0.0,13.347853453474661,0.2605168045848174,1,2,4,3,0.2019683656389923,0.10348811322492091,0.049715284227776324,0.2019683656389923,0.3412653688277369,0.2019683656389923,0.2019683656389923,0.2019683656389923,0.2019683656389923,0.23990916680668442,0.1647639872311405
310034,310,626629.2,5121.328,5006.637,6419.779,6652.542,12500.0,1,0.0,0,0.5,175.9551,4,5967.897,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,214.9361,667.3103,910.6671,12.47954,0.0,13.348110257116652,0.473310231728183,3,1,4,3,0.25602920913823507,0.16965232969337343,0.1315979976310506,0.2564713366338909,0.2341566077060706,0.25109009625092543,0.25021748023727836,0.22499291772020036,0.1872255149493767,0.17496168577291416,0.3355232293762434
472041,472,627538.7,9502.243,9487.188,10740.27,10288.82,29166.67,0,0.0,0,2.0,175.9551,4,5976.559,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,1616.1,979.8352,2351.965,2402.678,12.45988,0.0,13.34956062139313,0.48943115993288444,4,1,4,3,0.3628169788545284,0.31157577137119175,0.2721833565864263,0.36288519267428726,0.6306239773295881,0.357251975111543,0.3592710970045919,0.32529685773143663,0.2768519214150946,0.4007269353302597,0.3256428464498256
292087,292,627638.9,8927.6,9402.382,11127.04,11294.25,27777.78,1,0.0,0,1.0,175.9551,3,4827.992,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,754.5577,1285.664,1657.794,12.53247,0.0,13.349720280074438,0.43542315658215713,3,1,4,3,0.4033061686999637,0.3519753133327291,0.31660738400410515,0.40112409526648973,0.5987823003815137,0.39330653782557906,0.39255767249314155,0.3623359179548079,0.30997252161288,0.38176557220711865,0.4244286668651603
421042,421,627877.0,8067.858,8067.858,10343.82,10493.87,27777.78,0,1.0,0,0.0,171.7391,3,5232.308,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,0.0,1285.664,1657.794,12.80817,0.0,13.350099566394675,0.23007128954473366,1,2,4,3,0.24363468574580224,0.1794563168913957,0.14139105995482285,0.24363468574580224,0.6052959246081349,0.24363468574580224,0.24363468574580224,0.24363468574580224,0.24363468574580224,0.38678293086009485,0.10326491716571459
463042,463,627928.6,6454.817,6454.817,8211.366,8312.788,29166.67,0,1.0,0,0.0,171.7391,4,5581.587,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,0.0,964.2483,1243.345,13.23499,0.0,13.350181744719137,-0.0883455197119325,1,3,4,2,0.2423795274818911,0.18608013261448741,0.15552608527227332,0.2423795274818911,0.6533081323474638,0.2423795274818911,0.2423795274818911,0.2423795274818911,0.2423795274818911,0.41933870261098316,0.06885509173934129
493004,493,628005.9,7448.783,7448.783,8725.84,8235.361,12500.0,0,1.0,0,0.0,171.7391,4,6441.086,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,0.0,735.8646,786.578,12.54273,0.0,13.350304840310663,0.4283515629067036,1,1,4,3,0.1600522923551804,0.0675576761548497,0.03743533870360493,0.1600522923551804,0.2213630888957537,0.1600522923551804,0.1600522923551804,0.1600522923551804,0.1600522923551804,0.16518172805939912,0.15502241789061572
