hhid,hhea,c,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,close,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmt,getbenefit,logc,unob_c,distt_q,pmt_q,c_q,unob_c_q,col2,col3,col4,col5,col6
263010,263,496406.3,7421.759,9285.533,8411.264,8801.016,27777.78,0,0.0,0,4.0,175.9551,3,6205.079,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,666.6667,1414.81,1350.665,2045.923,13.03358,0.0,13.115150023609976,-0.17308231300910037,4,3,3,2,0.31847380254573593,0.5616700195746879,0.5641812978857093,0.5379498407679324,0.6099621997059191
327003,327,496560.3,4761.074,4405.298,5306.933,5121.573,11904.76,0,0.0,1,5.0,175.3095,7,3218.447,8.711562,-0.7913247,0.4344385,40.21196,-3.331221,0.9527218,8.021887,-0.7278951,1846.971,1638.761,2288.378,2128.697,12.74393,0.0,13.115460205243949,0.04336870493262168,4,2,3,2,0.31004505321844966,0.09702271383582042,0.011778423738262378,0.2250191087781842,0.2241089927734228
346018,346,496926.2,3895.989,4778.647,5373.486,6006.697,20833.33,0,0.0,1,2.0,175.3095,4,4417.122,8.711562,-0.7913247,0.4344385,40.21196,-3.331221,0.9527218,8.021887,-0.7278951,375.0,991.0108,1503.87,1981.849,13.26466,0.0,13.11619680310722,-0.3444706257058634,4,3,3,1,0.265461982997227,0.37164795227203934,0.31381313510283676,0.4162657400223052,0.4461167830647914
147007,147,497095.3,1824.16,1824.16,2747.229,3452.891,27777.78,1,1.0,0,0.0,171.7391,3,1911.905,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,676.4919,1364.244,12.77129,0.0,13.116537037200006,0.024029126457538297,1,2,3,2,0.4148672618196603,0.6150697623809394,0.6267417039764112,0.585923273152586,0.651350243980448
581009,581,498311.9,7563.317,7830.486,9682.3,10936.59,23333.33,1,0.0,0,0.2,175.9551,5,7550.18,8.711562,-0.7913247,-0.1123411,40.21196,-3.331221,-0.5616105,8.021887,-0.7278951,0.0,170.0078,649.4163,1309.751,12.45322,0.0,13.118981465180411,0.2638217878382747,2,1,3,3,0.3975834599376711,0.41966909614193054,0.37319437176034986,0.45071085574665537,0.4869141300747417
390012,390,498491.1,1879.342,2002.627,3587.152,4510.863,20833.33,0,1.0,1,0.3,125.7222,4,3323.274,8.711562,-0.7913247,0.4344385,40.21196,-3.331221,0.9527218,8.021887,-0.7278951,0.0,46.06893,1463.527,2289.753,13.06136,0.0,13.119341014663972,-0.1896211421954952,2,3,3,1,0.32056108417496476,0.38776416183793666,0.31381313510283676,0.432676527872162,0.46197464366527985
4047,4,498513.6,2261.256,2346.504,2940.87,3376.881,16666.67,0,0.0,0,0.5,175.9551,7,4846.66,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,122.8206,287.5123,579.8502,12.49783,0.0,13.119386149857425,0.23093787348994965,3,1,3,3,0.38564280469466367,0.2388234785059781,0.12886492165142846,0.3350860472131749,0.3475514333138238
415002,415,498553.6,5918.105,6403.085,6447.993,6986.327,20833.33,0,0.0,0,10.0,175.9551,4,4748.129,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,1250.0,1966.101,1779.888,2318.222,12.36154,0.0,13.119466385171597,0.3327195919057395,4,1,3,3,0.39500147314463013,0.35073008463607513,0.2857293229694066,0.4038352325472275,0.4302180726163907
59014,59,498663.7,2798.695,2798.695,3855.563,4570.047,12500.0,1,1.0,0,0.0,171.7391,4,3911.088,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,503.1465,1014.738,12.63402,0.0,13.119687199632892,0.1296120615469576,1,2,3,2,0.24360336164326693,0.11583131602545853,0.017762994700007355,0.24323558438142437,0.24747672003088855
258025,258,498787.7,3845.481,3845.481,5069.575,5820.719,13888.89,0,1.0,0,0.0,171.7391,6,4987.877,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,543.6064,1096.311,12.82972,0.0,13.11993583330194,-0.016173351617851495,1,2,3,2,0.19396547136034717,0.14477543968005344,0.03764848206140704,0.2658100051480925,0.27093640356300447
