hhid,hhea,consumption,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,closesubtreatment,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmtscore,getbenefit
505002,505,531049.6,1369.399,1369.399,1837.407,2139.385,25000,0,1,0,0,171.7391,6,2870.538,8.711562,-.7913247,-.1123411,40.21196,-3.331221,-.5616105,8.021887,-.7278951,0,0,340.1226,685.875,12.51926,0
592021,592,531385.7,1810.708,1810.708,2571.474,3112.016,16666.67,0,1,0,0,171.7391,5,3163.01,8.711562,-.7913247,-.1123411,40.21196,-3.331221,-.5616105,8.021887,-.7278951,0,0,402.5172,811.7902,12.50687,0
242024,242,531523.8,6377.712,6482.234,6696.458,6972.361,11904.76,0,0,0,5.1,175.9551,7,10335.18,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,571.4286,730.6368,866.3401,1166.077,12.68124,0
403061,403,531589.3,6102.671,5581.314,6587.385,6431.287,19444.44,0,0,1,5,175.3095,6,7087.857,8.711562,-.7913247,.4344385,40.21196,-3.331221,.9527218,8.021887,-.7278951,1666.667,1183.026,1985.319,1870.045,13.0295,0
512020,512,531692,7363.618,6538.018,9431.408,10778.78,12500,1,0,0,.1,175.9551,4,5063.733,8.711562,-.7913247,-.1123411,40.21196,-3.331221,-.5616105,8.021887,-.7278951,0,166.9414,811.3153,1636.278,12.48352,0
415014,415,531845.7,2973.34,3939.518,3397.25,3827.917,16666.67,0,0,0,10,175.9551,5,3165.748,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,800,1572.881,1223.911,1654.577,12.22785,0
189064,189,532416.7,6523.218,6520.354,8800.326,9774.379,29166.67,0,0,1,2,175.3095,4,3549.445,8.711562,-.7913247,.1845431,40.21196,-3.331221,.6020159,8.021887,-.7278951,1616.1,1601.573,3440.467,4212.929,13.16624,0
418026,418,532511.9,1954.127,1954.127,2676.182,3158.908,19444.44,1,1,0,0,171.7391,6,4096.246,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,0,0,335.431,676.4919,12.4247,0
3004,003,533380.9,3738.349,3738.349,5622.217,7055.665,27777.78,1,1,0,0,171.7391,3,2424.459,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,0,1081.754,2181.704,13.19209,0
277040,277,533438.1,5875.177,5875.177,7325.309,8049.878,10000,0,1,0,0,171.7391,5,6350.454,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,0,0,655.9671,1322.852,12.41221,0
566019,566,533466.7,2714.792,2606.603,4146.858,4884.263,36666.66,0,1,1,.5,125.7222,5,5230.066,8.711562,-.7913247,.5789615,40.21196,-3.331221,.3615767,8.021887,-.7278951,0,115.6716,1136.832,1763.824,12.32637,0
393033,393,534688.1,7686.516,7676.132,10196.15,11503.95,23333.33,0,0,1,1,175.3095,5,6365.334,8.711562,-.7913247,.4344385,40.21196,-3.331221,.9527218,8.021887,-.7278951,646.44,878.8223,2386.441,3284.919,13.35236,0
4083,004,534779.8,3564.308,3804.104,4796.185,5610.103,29166.67,1,0,0,.1,175.9551,4,4753.598,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,103.2989,502.0205,1012.486,12.92063,0
223027,223,535077.4,3486.623,3635.204,4928.966,6001.903,20833.33,0,0,0,.3,175.9551,4,2642.357,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,0,257.7686,812.2252,1638.098,12.88054,0
352027,352,535313.5,6236.964,6690.322,9677.65,11320.47,38888.89,0,1,1,1,125.7222,3,4460.946,8.711562,-.7913247,.4344385,40.21196,-3.331221,.9527218,8.021887,-.7278951,0,815.7521,2833.182,4293.108,13.00118,0
498015,498,535378,4586.2,4586.2,6213.172,7278.892,29166.67,0,1,0,0,171.7391,4,3965.763,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,0,0,815.4097,1644.467,12.57485,0
192049,192,535825.4,10122.61,9286.529,13554.65,15195.29,16666.67,1,0,1,1.5,175.3095,3,4121.734,8.711562,-.7913247,.1845431,40.21196,-3.331221,.6020159,8.021887,-.7278951,2154.8,1806.813,4821.045,6084.751,13.49435,0
189078,189,535923.8,5071.891,4325.893,7003.543,7925.136,16666.67,0,0,1,1.5,175.3095,5,2977.354,8.711562,-.7913247,.1845431,40.21196,-3.331221,.6020159,8.021887,-.7278951,1939.32,1084.088,3539.067,4297.291,13.15281,0
572089,572,536000,3907.942,4055.107,5318.841,5922.399,29166.67,0,0,1,2,175.3095,4,3573.333,8.711562,-.7913247,.5789615,40.21196,-3.331221,.3615767,8.021887,-.7278951,1000,991.0108,2128.87,2606.849,12.32804,0
374016,374,536212.3,4575.76,4278.324,5216.855,5267.509,30555.55,0,0,1,4,175.3095,6,5362.123,8.711562,-.7913247,.4344385,40.21196,-3.331221,.9527218,8.021887,-.7278951,1666.667,1025.607,2129.962,2159.33,13.85544,0
422024,422,536234.1,5726.853,5557.029,7545.64,8864.388,27777.78,0,0,0,1,175.9551,3,2681.171,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,1346.75,754.5577,2433.963,3539.373,13.27686,0
462041,462,537068.4,2512.091,2610.598,3437.664,4104.04,29166.67,1,0,0,.5,175.9551,4,2983.714,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,250,214.9361,753.1465,1264.738,12.73228,0
538032,538,537190.5,6517.869,6230.42,8784.46,10377.03,38888.89,0,0,0,.1,175.9551,3,3581.27,8.711562,-.7913247,-.1123411,40.21196,-3.331221,-.5616105,8.021887,-.7278951,538.7,222.5885,1620.454,2720.405,12.98883,0
52027,052,537246,5125.897,5125.897,6874.048,7990.904,16666.67,1,1,0,0,171.7391,3,5372.46,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,0,669.736,1350.732,12.7135,0
421053,421,537467.3,5524.917,5524.917,7476.419,8748.995,37500,1,1,0,0,171.7391,4,4777.487,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,0,0,812.2252,1638.098,12.76781,0
462015,462,537664.7,1919.907,2000.056,2582.741,3043.768,13888.89,0,0,0,.5,175.9551,6,3468.804,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,166.6667,143.2907,502.0976,843.1585,12.95337,0
45045,045,537723.3,9756.443,9610.408,12022.25,13224.63,29166.67,1,0,0,.3,175.9551,4,11949.41,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,159.5004,502.5835,1013.612,12.64672,0
355004,355,538125.9,2623.277,3082.921,3315.323,3519.082,7142.857,1,0,1,3,175.3095,7,4650.47,8.711562,-.7913247,.4344385,40.21196,-3.331221,.9527218,8.021887,-.7278951,571.4286,729.8481,1092.518,1241.67,12.44941,0
256058,256,538136.9,21416.35,20170.72,21940.74,21551.59,27777.78,0,0,0,3.5,175.9551,3,8968.948,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,0,2056.937,524.3853,135.2356,12.49144,0
184016,184,538254,2739.154,3084.763,4182.129,4530.738,27777.78,1,1,1,1,125.7222,3,3166.2,8.711562,-.7913247,.1845431,40.21196,-3.331221,.6020159,8.021887,-.7278951,0,504.7659,1233.476,1577.838,13.04298,0
353035,353,538469.8,1970.234,2015.545,3700.951,4368.019,27777.78,0,1,1,.1,125.7222,3,2692.349,8.711562,-.7913247,.4344385,40.21196,-3.331221,.9527218,8.021887,-.7278951,0,-73.689,1500.21,2111.306,13.37733,0
380036,380,538519.1,2907,3472.361,3756.935,3840.666,16666.67,0,1,1,1.5,125.7222,5,5983.545,8.711562,-.7913247,.4344385,40.21196,-3.331221,.9527218,8.021887,-.7278951,200,475.9717,851.1742,968.8803,12.76105,0
213043,213,538669.6,7342.115,7342.115,8330.891,7828.829,29166.67,0,1,0,0,171.7391,4,10260.37,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,0,0,455.3336,486.7137,13.09621,0
254045,254,539197.8,9016.355,8183.81,11087.03,11283.12,27777.78,1,0,0,1,175.9551,3,4147.676,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,1346.75,754.5577,2632.415,3004.544,12.86817,0
157057,157,539469.6,5434.086,4545.61,6241.88,6809.294,20370.37,1,0,1,2,175.3095,9,6224.649,8.711562,-.7913247,.1845431,40.21196,-3.331221,.6020159,8.021887,-.7278951,1795.667,711.8101,2309.127,2710.318,12.61045,0
385032,385,539839.3,1338.159,1489.794,1634.495,1506.311,16666.67,0,1,1,3,125.7222,7,2209.868,8.711562,-.7913247,.4344385,40.21196,-3.331221,.9527218,8.021887,-.7278951,571.4286,650.6095,846.0287,739.5801,12.872,0
223002,223,540472.3,4928.055,4635.472,7103.461,7768.99,27777.78,0,0,0,.2,175.9551,3,2573.677,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,538.7,283.3462,2067.974,2683.712,13.03084,0
337035,337,541028.6,1824.997,1756.11,2895.471,3286.34,23333.33,0,1,1,.2,125.7222,5,3757.143,8.711562,-.7913247,.4344385,40.21196,-3.331221,.9527218,8.021887,-.7278951,0,-3.397615,882.3438,1231.219,12.84711,0
363013,363,541607.1,1686.414,1572.253,2764.886,3174.85,10000,0,1,1,.1,125.7222,5,3471.841,8.711562,-.7913247,.4344385,40.21196,-3.331221,.9527218,8.021887,-.7278951,0,-44.2134,900.1261,1266.784,12.88502,0
486072,486,542032.8,41788.86,41788.86,45560.89,42575.43,12500,0,1,0,0,171.7391,4,36135.52,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,0,0,735.8646,786.578,12.74712,0
447024,447,542538.1,9424.545,11061.99,10879.56,11827.96,23333.33,0,0,1,3,175.3095,5,8220.274,8.711562,-.7913247,-.5047958,40.21196,-3.331221,-.6510682,8.021887,-.7278951,775.728,1651.311,1632.595,2287.377,12.71586,0
164008,164,543026.2,3693.412,2409.946,4604.596,4814.682,16666.67,0,1,1,1,125.7222,5,4309.732,8.711562,-.7913247,.1845431,40.21196,-3.331221,.6020159,8.021887,-.7278951,1600,302.8595,2340.086,2546.703,13.4647,0
123056,123,543527.8,1264.837,1264.837,1817.858,1898.174,19444.44,0,1,0,0,171.7391,6,2651.355,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,0,397.7676,512.8995,12.2775,0
108035,108,543710.3,3542.877,3688.613,5577.709,6232.405,27777.78,1,0,0,.2,175.9551,3,2013.742,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,283.3462,1529.274,2145.012,12.94317,0
527013,527,543899.1,2240.428,2176.054,3089.363,3320.628,16666.67,0,0,0,.3,175.9551,5,3237.494,8.711562,-.7913247,-.1123411,40.21196,-3.331221,-.5616105,8.021887,-.7278951,320,127.6003,876.4591,1093.755,12.69675,0
390020,390,544399.6,3706.415,3777.398,4602.741,4823.923,16666.67,0,1,1,.7,125.7222,7,10585.55,8.711562,-.7913247,.4344385,40.21196,-3.331221,.9527218,8.021887,-.7278951,285.7143,137.3113,852.4517,1038.141,12.57077,0
287039,287,544458.3,6457.825,6457.825,7111.024,6787.635,12500,0,1,0,0,171.7391,4,5584.188,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,0,0,507.4808,329.8105,12.75615,0
173010,173,544782.1,1916.614,2969.55,2423.552,2765.07,13888.89,1,0,1,4,175.3095,6,3204.601,8.711562,-.7913247,.1845431,40.21196,-3.331221,.6020159,8.021887,-.7278951,0,1025.607,407.1042,710.0046,12.85638,0
145015,145,544794.6,3708.356,4274.684,5304.086,5688.692,29166.67,1,0,0,.5,175.9551,4,3026.637,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,347.3582,1078.44,1471.729,12.64377,0
492088,492,545347.6,2081.157,2761.939,2721.968,3181.424,16666.67,0,0,1,3,175.3095,5,2456.521,8.711562,-.7913247,-.5047958,40.21196,-3.331221,-.6510682,8.021887,-.7278951,400,1021.787,930.2067,1335.369,12.54692,0
164039,164,546369.1,5191.921,4088.676,6418.293,6682.671,12500,1,1,1,1,125.7222,4,6070.768,8.711562,-.7913247,.1845431,40.21196,-3.331221,.6020159,8.021887,-.7278951,1000,378.5744,1925.107,2183.379,13.04914,0
38026,038,546502.4,8269.688,8192.636,9295.694,8898.949,36666.66,1,0,0,2,175.9551,5,6505.981,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,783.8682,588.6917,629.2624,12.81308,0
483057,483,546750,2898.098,2898.098,3850.478,3943.403,20833.33,0,1,0,0,171.7391,4,4050,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,0,0,596.6514,769.3493,12.81848,0
85059,085,546904.8,3069.442,3069.442,4549.694,5003.425,27777.78,1,1,0,0,171.7391,3,3217.087,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,0,965.1165,1364.962,13.07741,0
236008,236,547693.4,6032.183,6032.183,8002.124,8380.449,20833.33,0,1,0,0,171.7391,4,5216.128,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,0,0,1078.44,1471.729,12.97129,0
421001,421,548406.8,2487.075,2487.075,3573.602,3829.625,19444.44,0,1,0,0,171.7391,6,3225.922,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,0,0,718.9601,981.1527,13.13184,0
237006,237,548507.9,2180.562,2180.562,3392.576,3711.643,16666.67,0,1,0,0,171.7391,3,2285.45,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,0,0,889.7471,1214.223,12.91603,0
33097,033,549095.3,8731.587,8731.587,9660.196,9192.115,27777.78,0,1,0,0,171.7391,3,9151.588,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,0,512.8995,460.5278,13.00725,0
