hhid,hhea,consumption,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,closesubtreatment,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmtscore,getbenefit
31034,031,2339393,13199.05,13199.05,16812.67,16974.89,20833.33,0,1,0,0,175.9551,4,11139.97,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1359.055,1179.427,13.05734,0
31034,031,2339393,16373.34,14872.62,19986.96,20149.18,20833.33,0,0,0,.5,175.9551,4,11139.97,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,2424.15,360.4928,3783.205,3603.576,13.05734,0
31041,031,2821472,44573.14,44573.14,53998.88,54913.79,27777.78,0,1,0,0,175.9551,3,28214.72,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1812.073,1572.569,13.33679,0
31041,031,2821472,50877.25,49488.07,60302.99,61217.9,27777.78,0,0,0,.5,175.9551,3,28214.72,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,3770.9,480.657,5582.973,5343.469,13.33679,0
31045,031,445194.5,5334.028,5409.44,7609.147,9133.498,27777.78,1,0,0,.3,175.9551,3,2967.963,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,538.7,331.8065,1621.029,2749.753,13.16426,0
31045,031,445194.5,4688.738,4688.738,6963.858,8488.209,27777.78,1,1,0,0,175.9551,3,2967.963,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1082.329,2211.053,13.16426,0
31047,031,606115.1,11947.78,12427.32,13796.72,13488.83,27777.78,0,0,0,1.5,175.9551,3,6061.151,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,2154.8,1182.057,3296.365,3384.689,13.28866,0
31047,031,606115.1,9575.304,9575.304,11424.25,11116.35,27777.78,0,1,0,0,175.9551,3,6061.151,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1141.564,1229.889,13.28866,0
31053,031,1126996,17804.09,17804.09,23120.5,23805.27,27777.78,0,1,0,0,175.9551,3,11269.96,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,2017.231,1982.884,13.19154,0
31053,031,1126996,18747.54,19386.41,24063.94,24748.71,27777.78,0,0,0,.2,175.9551,3,11269.96,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,538.7,256.3099,2555.931,2521.584,13.19154,0
31062,031,1198536,14564.82,14564.82,19419.71,20112.39,16666.67,0,1,0,0,175.9551,3,9219.505,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,2085.617,2119.656,13.13484,0
31062,031,1198536,20779.58,15704.49,25634.47,26327.15,16666.67,0,0,0,.1,175.9551,3,9219.505,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,5387,180.0992,7472.617,7506.656,13.13484,0
31086,031,424202.4,3527.094,3527.094,6407.452,7305.62,27777.78,1,1,0,0,175.9551,3,2232.644,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,2234.167,3009.263,12.82708,0
31086,031,424202.4,3727.548,4856.107,6607.906,7506.074,27777.78,1,0,0,1,175.9551,3,2232.644,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,840.2847,2234.167,3009.263,12.82708,0
31110,031,964435.7,5840.6,6835.783,6795.775,6095.181,16666.67,0,0,0,2,175.9551,5,5185.138,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,646.44,903.5848,1118.211,646.44,12.88269,0
31110,031,964435.7,4914.837,4914.837,5870.011,5169.417,16666.67,0,1,0,0,175.9551,5,5185.138,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,471.7707,0,12.88269,0
31138,031,363823.4,3592.263,3592.263,5746.173,6637.763,30555.55,1,1,0,0,175.9551,6,4547.792,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1335.944,1942.353,12.39962,0
31138,031,363823.4,6489.921,3918.982,8643.831,9535.421,30555.55,1,0,0,.1,175.9551,6,4547.792,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,2693.5,90.04958,4029.444,4635.853,12.39962,0
31165,031,1098544,21693.26,21693.26,26344.95,25801.41,38888.89,0,1,0,0,175.9551,3,13731.8,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1470.144,888.7095,13.23567,0
31165,031,1098544,24003.55,25539.46,28655.24,28111.7,38888.89,0,0,0,1,175.9551,3,13731.8,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,1077.4,840.2847,2547.543,1966.109,13.23567,0
37009,037,586773.8,5149.863,5149.863,6617.064,6700.79,20833.33,0,1,0,0,175.9551,4,4346.473,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,987.8282,1185.727,13.13433,0
37009,037,586773.8,6250.594,6493.664,7717.794,7801.52,20833.33,0,0,0,1,175.9551,4,4346.473,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,808.05,630.2135,1795.878,1993.777,13.13433,0
37016,037,678288.7,3059.865,3758.49,4303.448,4440.433,12500,0,0,0,1,175.9551,4,2318.936,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,630.2135,987.8282,1185.727,12.29019,0
37016,037,678288.7,2747.562,2747.562,3991.145,4128.13,12500,0,1,0,0,175.9551,4,2318.936,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,987.8282,1185.727,12.29019,0
37018,037,525973.3,2967.585,2967.585,4424.663,5411.999,12500,0,1,0,0,175.9551,4,2504.635,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,819.8659,1674.528,12.71333,0
37018,037,525973.3,3642.208,4009,5099.286,6086.622,12500,0,0,0,1,175.9551,4,2504.635,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,630.2135,819.8659,1674.528,12.71333,0
37025,037,254319,2114.573,2114.573,3945.524,5291.238,23333.33,1,1,0,0,175.9551,5,2230.869,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1440.037,2611.536,12.26771,0
37025,037,254319,2234.75,2911.749,4065.701,5411.415,23333.33,1,0,0,1,175.9551,5,2230.869,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,504.1708,1440.037,2611.536,12.26771,0
37041,037,458000,4032.871,4003.876,5540.17,6489.526,23333.33,0,0,0,.4,175.9551,5,3634.921,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,243.9533,650.3253,1328.488,12.58899,0
37041,037,458000,3445.432,3445.432,4952.731,5902.087,23333.33,0,1,0,0,175.9551,5,3634.921,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,650.3253,1328.488,12.58899,0
37043,037,211238.1,1235.964,1235.964,2452.825,3375.189,14583.33,1,1,0,0,175.9551,8,2086.302,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,950.3743,1732.912,11.83114,1
37043,037,211238.1,1376.451,1384.931,2593.311,3515.675,14583.33,1,0,0,.1,175.9551,8,2086.302,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,67.53719,950.3743,1732.912,11.83114,1
37046,037,869420.1,4736.19,4736.19,6060.865,5819.953,16666.67,0,1,0,0,175.9551,7,6995.334,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,630.0615,380.8755,12.53906,0
37046,037,869420.1,6351.213,5752.58,7675.887,7434.976,16666.67,0,0,0,1,175.9551,7,6995.334,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,360.122,630.0615,380.8755,12.53906,0
37057,037,401997,4536.201,4536.201,7337.408,8371.527,12500,1,1,0,0,175.9551,4,3828.543,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1858.009,2621.716,12.25665,1
